Date,Close,Volume,Dividends
2000-02-23,12.528141021728516,377800,0.0
2000-02-24,12.379501342773438,737000,0.0
2000-02-25,12.209625244140625,896800,0.0
2000-02-28,12.464437484741211,455000,0.0
2000-02-29,12.655548095703125,801600,0.0
2000-03-01,13.207633972167969,630600,0.0
2000-03-02,13.929594993591309,1324600,0.0
2000-03-03,13.568614959716797,783600,0.0
2000-03-06,13.802186965942383,310800,0.0
2000-03-07,15.373517036437988,1388200,0.0
2000-03-08,15.033769607543945,1530000,0.0
2000-03-09,15.055001258850098,574400,0.0
2000-03-10,14.97006893157959,966800,0.0
2000-03-13,15.050848960876465,403000,0.025
2000-03-14,15.093366622924805,785000,0.0
2000-03-15,14.604429244995117,630600,0.0
2000-03-16,14.987074851989746,549200,0.0
2000-03-17,14.7532320022583,441800,0.0
2000-03-20,14.370583534240723,258200,0.0
2000-03-21,14.68946361541748,397200,0.0
2000-03-22,14.604429244995117,543000,0.0
2000-03-23,14.49813461303711,336200,0.0
2000-03-24,14.455626487731934,368000,0.0
2000-03-27,14.22177505493164,473200,0.0
2000-03-28,14.455626487731934,623000,0.0
2000-03-29,15.178399085998535,989400,0.0
2000-03-30,16.071239471435547,2524400,0.0
2000-03-31,16.517671585083008,1070200,0.0
2000-04-03,16.68773078918457,824800,0.0
2000-04-04,16.156278610229492,1084400,0.0
2000-04-05,16.071239471435547,590400,0.0
2000-04-06,16.411373138427734,843400,0.0
2000-04-07,16.113759994506836,516600,0.0
2000-04-10,15.518535614013672,864200,0.0
2000-04-11,15.539793014526367,1254600,0.0
2000-04-12,15.731117248535156,971600,0.0
2000-04-13,16.241308212280273,628000,0.0
2000-04-14,15.943695068359375,690000,0.0
2000-04-17,15.072103500366211,903600,0.0
2000-04-18,15.11462688446045,620800,0.0
2000-04-19,15.624821662902832,1632600,0.0
2000-04-20,15.476005554199219,976800,0.0
2000-04-24,15.327204704284668,483000,0.0
2000-04-25,15.731117248535156,756200,0.0
2000-04-26,15.943695068359375,611400,0.0
2000-04-27,16.262569427490234,578600,0.0
2000-04-28,16.368858337402344,862000,0.0
2000-05-01,16.283830642700195,1408000,0.0
2000-05-02,16.028722763061523,751000,0.0
2000-05-03,15.858659744262695,581200,0.0
2000-05-04,16.66648292541504,1821000,0.0
2000-05-05,16.900306701660156,1309400,0.0
2000-05-08,17.32548713684082,1103600,0.0
2000-05-09,17.049131393432617,588000,0.0
2000-05-10,16.68773078918457,570200,0.0
2000-05-11,17.516809463500977,1174400,0.0
2000-05-12,17.920719146728516,1714400,0.0
2000-05-15,19.132434844970703,1903800,0.0
2000-05-16,19.0048885345459,1786200,0.0
2000-05-17,19.387540817260742,884400,0.0
2000-05-18,19.89773178100586,1007000,0.0
2000-05-19,19.68515396118164,590200,0.0
2000-05-22,19.68515396118164,761000,0.0
2000-05-23,19.663894653320312,1124200,0.0
2000-05-24,20.23786735534668,1297200,0.0
2000-05-25,19.961509704589844,1301600,0.0
2000-05-26,18.91986656188965,4393200,0.0
2000-05-30,19.25998306274414,2313400,0.0
2000-05-31,20.344160079956055,2285000,0.0
2000-06-01,20.407936096191406,1521800,0.0
2000-06-02,19.940256118774414,1136200,0.0
2000-06-05,19.578861236572266,839000,0.0
2000-06-06,19.770179748535156,1085200,0.0
2000-06-07,19.89773178100586,1379400,0.0
2000-06-08,20.06780433654785,954000,0.0
2000-06-09,19.940256118774414,747600,0.0
2000-06-12,20.131568908691406,962000,0.0
2000-06-13,20.34007453918457,532200,0.025
2000-06-14,20.46773910522461,1175400,0.0
2000-06-15,20.254985809326172,1360000,0.0
2000-06-16,20.42519187927246,729800,0.0
2000-06-19,20.16986846923828,1115000,0.0
2000-06-20,19.85072898864746,1373800,0.0
2000-06-21,19.595413208007812,5656400,0.0
2000-06-22,19.82945442199707,1407600,0.0
2000-06-23,19.9783878326416,1882200,0.0
2000-06-26,19.446483612060547,1146600,0.0
2000-06-27,19.16988754272461,820200,0.0
2000-06-28,18.76563835144043,1445400,0.0
2000-06-29,18.872018814086914,1664200,0.0
2000-06-30,19.063505172729492,2057200,0.0
2000-07-03,18.935848236083984,338800,0.0
2000-07-05,16.403976440429688,2613600,0.0
2000-07-06,16.93589210510254,3669400,0.0
2000-07-07,16.893335342407227,806400,0.0
2000-07-10,16.382701873779297,1059600,0.0
2000-07-11,17.80821418762207,1590200,0.0
2000-07-12,17.61672592163086,907000,0.0
2000-07-13,16.723121643066406,1750200,0.0
2000-07-14,16.78695297241211,442600,0.0
2000-07-17,16.489076614379883,416200,0.0
2000-07-18,16.212488174438477,1188400,0.0
2000-07-19,15.74441909790039,1416200,0.0
2000-07-20,16.021011352539062,1009600,0.0
2000-07-21,15.616758346557617,1528400,0.0
2000-07-24,14.978476524353027,2908400,0.0
2000-07-25,14.638049125671387,2362800,0.0
2000-07-26,15.042295455932617,1136000,0.0
2000-07-27,15.34016227722168,1754200,0.0
2000-07-28,15.446540832519531,841200,0.0
2000-07-31,15.574211120605469,998800,0.0
2000-08-01,15.659303665161133,1080400,0.0
2000-08-02,16.744403839111328,1539400,0.0
2000-08-03,16.393341064453125,1636600,0.0
2000-08-04,16.765676498413086,625600,0.0
2000-08-07,17.494386672973633,678000,0.0
2000-08-08,17.42523765563965,736200,0.0
2000-08-09,17.765655517578125,1388200,0.0
2000-08-10,17.6805477142334,1376200,0.0
2000-08-11,17.957141876220703,1000000,0.0
2000-08-14,18.723093032836914,1064400,0.0
2000-08-15,18.446502685546875,1160000,0.0
2000-08-16,18.808195114135742,919200,0.0
2000-08-17,19.38265037536621,1707400,0.0
2000-08-18,19.297550201416016,898800,0.0
2000-08-21,19.148611068725586,869400,0.0
2000-08-22,19.16988754272461,681000,0.0
2000-08-23,21.100704193115234,1923400,0.0
2000-08-24,20.212421417236328,3655400,0.0
2000-08-25,20.318805694580078,2165600,0.0
2000-08-28,20.531570434570312,1201400,0.0
2000-08-29,20.68049430847168,31008800,0.0
2000-08-30,20.744327545166016,3368000,0.0
2000-08-31,19.94115447998047,1835600,0.0
2000-09-01,20.382631301879883,1722000,0.0
2000-09-05,20.297531127929688,969200,0.0
2000-09-06,20.65921974182129,2468400,0.0
2000-09-07,20.44646453857422,1545000,0.0
2000-09-08,19.935834884643555,1164400,0.0
2000-09-11,20.44646453857422,1606200,0.0
2000-09-12,20.16986846923828,1350400,0.0
2000-09-13,19.82490348815918,1738600,0.025
2000-09-14,19.803607940673828,947600,0.0
2000-09-15,21.123849868774414,3739800,0.0
2000-09-18,20.788469314575195,1661200,0.0
2000-09-19,20.080427169799805,1731000,0.0
2000-09-20,20.272085189819336,1663200,0.0
2000-09-21,19.59067153930664,2652800,0.0
2000-09-22,19.22867202758789,1209200,0.0
2000-09-25,19.67584228515625,2437200,0.0
2000-09-26,20.10173225402832,1881600,0.0
2000-09-27,20.476505279541016,1839600,0.0
2000-09-28,20.40836524963379,1056200,0.0
2000-09-29,20.49353790283203,1702000,0.0
2000-10-02,20.68092918395996,1363400,0.0
2000-10-03,20.73885154724121,1130200,0.0
2000-10-04,20.10173225402832,1272400,0.0
2000-10-05,19.24996566772461,1943000,0.0
2000-10-06,19.246559143066406,1498400,0.0
2000-10-09,19.67584228515625,1011800,0.0
2000-10-10,20.59575653076172,1860200,0.0
2000-10-11,21.430490493774414,2204000,0.0
2000-10-12,21.805261611938477,2784400,0.0
2000-10-13,21.147703170776367,1801400,0.0
2000-10-16,20.61278533935547,1100400,0.0
2000-10-17,20.813798904418945,1482200,0.0
2000-10-18,20.783145904541016,1295000,0.0
2000-10-19,20.255056381225586,1094800,0.0
2000-10-20,20.476505279541016,1286000,0.0
2000-10-23,20.057435989379883,725000,0.0
2000-10-24,19.42031478881836,1851000,0.0
2000-10-25,17.904172897338867,2285400,0.0
2000-10-26,18.142663955688477,1736200,0.0
2000-10-27,17.171642303466797,2225600,0.0
2000-10-30,16.899078369140625,2013000,0.0
2000-10-31,17.171642303466797,2155600,0.0
2000-11-01,18.09156036376953,1854200,0.0
2000-11-02,17.376066207885742,1129000,0.0
2000-11-03,17.410140991210938,1456800,0.0
2000-11-06,17.20571517944336,1305600,0.0
2000-11-07,17.63159942626953,3190000,0.0
2000-11-08,17.887134552001953,2201400,0.0
2000-11-09,17.801959991455078,1935000,0.0
2000-11-10,17.614564895629883,1745600,0.0
2000-11-13,17.512357711791992,1559800,0.0
2000-11-14,17.801959991455078,1517600,0.0
2000-11-15,18.534482955932617,2677000,0.0
2000-11-16,18.415233612060547,1419800,0.0
2000-11-17,17.883724212646484,1321600,0.0
2000-11-20,17.76447296142578,1233200,0.0
2000-11-21,18.26531219482422,1782800,0.0
2000-11-22,18.653722763061523,1453800,0.0
2000-11-24,18.483369827270508,403200,0.0
2000-11-27,18.39820098876953,1071200,0.0
2000-11-28,18.370935440063477,1124800,0.0
