Date,Close,Volume
2000-02-23,133.1199951171875,0
2000-02-24,129.64999389648438,0
2000-02-25,127.37000274658203,0
2000-02-28,128.00999450683594,0
2000-02-29,127.19000244140625,0
2000-03-01,124.83000183105469,0
2000-03-02,121.80000305175781,0
2000-03-03,127.0,0
2000-03-06,123.69000244140625,0
2000-03-07,119.0199966430664,0
2000-03-08,121.55000305175781,0
2000-03-09,122.08000183105469,0
2000-03-10,122.56999969482422,0
2000-03-13,124.66999816894531,0
2000-03-14,121.79000091552734,0
2000-03-15,130.0399932861328,0
2000-03-16,137.75,0
2000-03-17,132.89999389648438,0
2000-03-20,135.17999267578125,0
2000-03-21,136.88999938964844,0
2000-03-22,132.77000427246094,0
2000-03-23,136.39999389648438,0
2000-03-24,136.39999389648438,0
2000-03-27,135.07000732421875,0
2000-03-28,133.57000732421875,0
2000-03-29,135.2899932861328,0
2000-03-30,138.75,0
2000-03-31,139.58999633789062,0
2000-04-03,144.0500030517578,0
2000-04-04,143.25,0
2000-04-05,141.27999877929688,0
2000-04-06,141.22999572753906,0
2000-04-07,138.91000366210938,0
2000-04-10,141.99000549316406,0
2000-04-11,145.57000732421875,0
2000-04-12,148.3800048828125,0
2000-04-13,144.72999572753906,0
2000-04-14,137.5800018310547,0
2000-04-17,137.67999267578125,0
2000-04-18,134.0500030517578,0
2000-04-19,132.7899932861328,0
2000-04-20,135.19000244140625,0
2000-04-24,136.89999389648438,0
2000-04-25,136.3000030517578,0
2000-04-26,133.92999267578125,0
2000-04-27,133.32000732421875,0
2000-04-28,133.42999267578125,0
2000-05-01,133.89999389648438,0
2000-05-02,137.1699981689453,0
2000-05-03,135.3800048828125,0
2000-05-04,136.55999755859375,0
2000-05-05,138.4199981689453,0
2000-05-08,137.27000427246094,0
2000-05-09,137.44000244140625,0
2000-05-10,136.89999389648438,0
2000-05-11,138.9499969482422,0
2000-05-12,138.67999267578125,0
2000-05-15,142.5,0
2000-05-16,141.6699981689453,0
2000-05-17,140.02000427246094,0
2000-05-18,139.99000549316406,0
2000-05-19,139.41000366210938,0
2000-05-22,138.82000732421875,0
2000-05-23,136.5399932861328,0
2000-05-24,135.55999755859375,0
2000-05-25,131.22000122070312,0
2000-05-26,128.8800048828125,0
2000-05-30,131.16000366210938,0
2000-05-31,129.9499969482422,0
2000-06-01,129.61000061035156,0
2000-06-02,132.27999877929688,0
2000-06-05,131.88999938964844,0
2000-06-06,130.80999755859375,0
2000-06-07,128.4600067138672,0
2000-06-08,127.80999755859375,0
2000-06-09,127.69999694824219,0
2000-06-12,128.1999969482422,0
2000-06-13,125.45999908447266,0
2000-06-14,129.22999572753906,0
2000-06-15,128.38999938964844,0
2000-06-16,127.91999816894531,0
2000-06-19,124.55999755859375,0
2000-06-20,122.58999633789062,0
2000-06-21,121.1500015258789,0
2000-06-22,121.2699966430664,0
2000-06-23,121.19999694824219,0
2000-06-26,118.91000366210938,0
2000-06-27,122.95999908447266,0
2000-06-28,122.0999984741211,0
2000-06-29,120.43000030517578,0
2000-06-30,118.08000183105469,0
2000-07-03,121.69999694824219,0
2000-07-05,121.36000061035156,0
2000-07-06,118.58999633789062,0
2000-07-07,117.29000091552734,0
2000-07-10,119.94999694824219,0
2000-07-11,126.55000305175781,0
2000-07-12,124.87000274658203,0
2000-07-13,126.47000122070312,0
2000-07-14,124.51000213623047,0
2000-07-17,121.80000305175781,0
2000-07-18,120.55000305175781,0
2000-07-19,119.77999877929688,0
2000-07-20,119.12999725341797,0
2000-07-21,120.23999786376953,0
2000-07-24,119.48999786376953,0
2000-07-25,119.16000366210938,0
2000-07-26,117.94999694824219,0
2000-07-27,119.19000244140625,0
2000-07-28,118.4000015258789,0
